OG_tree_name	New_tree_name
08-12-12-13	08.12.12.13
08-19-02-10	08.19.02.10
08-19-02-30	08.19.02.30
08-19-02-46	08.19.02.46
08-19-02-61	08.19.02.61
08-31-08-91	08.31.08.91
08-36-03-25	08.36.03.25
09-7500806	09-7500806
10-01-02-27	10.01.02.27
12-7504462	12-7504462
12-7504652	12-7504652
12-7505054	12-7505054
12-7505220	12-7505220
12-7505446	12-7505446
84-NIH	A_fum_84-NIH
A1163	A1163
Af-M1509-D	Af-M1509-D
AF100-11_3	A_fum_AF100-11_3
AF100-11A	A_fum_AF100-11A
AF100-12_10	A_fum_AF100-12_10
AF100-12_2	A_fum_AF100-12_2
AF100-12_21	A_fum_AF100-12_21
AF100-12_37	A_fum_AF100-12_37
AF100-12_3G	A_fum_AF100-12_3G
AF100-12_5	A_fum_AF100-12_5
AF293	AF293
AF300	AF300
AF41	AF41
Af65	Af65
AF72	AF72
AF90	AF90
AFIS_13708_CDC-14	A_fum_AFIS_13708_CDC-14
AFIS_2302_CDC-18	A_fum_AFIS_2302_CDC-18
AFIS_23107_CDC-12	A_fum_AFIS_23107_CDC-12
AFIS1435CDC_6	A_fum_AFIS1435CDC_6
Afu_1042-09	Afu_1042-09
Afu_591/12	Afu_591/12
Afu_942-09	Afu_942-09
AFUG_031815-1869	A_fum_AFUG_031815-1869
AFUG_082015-1200	A_fum_AFUG_082015-1200
AFUG_100413-0667	A_fum_AFUG_100413-0667
ATCC_204305	ATCC_204305
ATCC_46645	ATCC_46645
B5224_CDC-21	A_fum_B5224_CDC-21
B5258CDC_22	A_fum_B5258CDC_22
B5259_CDC-23	A_fum_B5259_CDC-23
B5269_CDC-24	A_fum_B5269_CDC-24
B5288_CDC-16	A_fum_B5288_CDC-16
B5289_CDC-25	A_fum_B5289_CDC-25
B5460_CDC-13	A_fum_B5460_CDC-13
B5461_CDC-2	A_fum_B5461_CDC-2
B5852	B5852
B5854	B5854
B5856	B5856
B5859	B5859
B5960CDC_29	A_fum_B5960CDC_29
